    # Step         Domain_Size
    210000      1.27601242E+01     -2.49999478E-01      5.16303658E-01      5.34881897E+01      1.06897955E+01
    220000      1.28000002E+01     -2.49999493E-01      5.17188668E-01      5.03096390E+01      9.64485359E+00
    230000      1.27601242E+01     -2.49999449E-01      5.16824305E-01      5.29859428E+01      9.45726490E+00
    240000      1.28000002E+01     -2.49999493E-01      5.16560376E-01      5.13214798E+01      1.10247793E+01
    250000      1.29211359E+01     -2.49999449E-01      5.17811060E-01      5.56626892E+01      9.23913193E+00
    260000      1.27601242E+01     -2.49999404E-01      5.17065525E-01      5.72811775E+01      1.12485132E+01
    270000      1.28805027E+01     -2.49999374E-01      5.16509533E-01      5.02754097E+01      1.18578587E+01
    280000      1.28805027E+01     -2.49999374E-01      5.17050028E-01      5.14951515E+01      1.25462542E+01
    290000      1.28805027E+01     -2.49999404E-01      5.16699791E-01      4.89029083E+01      1.18817968E+01
    300000      1.28805027E+01     -2.49999464E-01      5.17292857E-01      4.89408035E+01      1.07632074E+01
    310000      1.28401251E+01     -2.49999464E-01      5.17153621E-01      5.14773560E+01      9.38492203E+00
    320000      1.28000002E+01     -2.49999434E-01      5.17113566E-01      5.00115471E+01      1.04123411E+01
    330000      1.28401251E+01     -2.49999464E-01      5.17138779E-01      4.98909264E+01      1.19293375E+01
    340000      1.28000002E+01     -2.49999523E-01      5.16984165E-01      4.81232033E+01      1.03748226E+01
    350000      1.28000002E+01     -2.49999419E-01      5.16799212E-01      4.96440430E+01      8.36064434E+00
    360000      1.26811142E+01     -2.49999478E-01      5.16909182E-01      4.66617661E+01      9.55357742E+00
    370000      1.27204971E+01     -2.49999493E-01      5.17154992E-01      5.18052673E+01      1.03664827E+01
    380000      1.27204971E+01     -2.49999523E-01      5.16835093E-01      5.22607231E+01      9.99654293E+00
    390000      1.27204971E+01     -2.49999404E-01      5.17106354E-01      5.29075050E+01      1.25395699E+01
    400000      1.27601242E+01     -2.49999508E-01      5.16739309E-01      5.05719528E+01      9.81245232E+00
    410000      1.28401251E+01     -2.49999478E-01      5.17323136E-01      4.82819481E+01      1.05904093E+01
    420000      1.26811142E+01     -2.49999359E-01      5.16933322E-01      4.70135574E+01      1.14572201E+01
    430000      1.26811142E+01     -2.49999478E-01      5.17027557E-01      5.00167885E+01      9.96816063E+00
    440000      1.26419754E+01     -2.49999478E-01      5.16608775E-01      5.05741806E+01      1.01345167E+01
    450000      1.26419754E+01     -2.49999419E-01      5.17207921E-01      4.66063499E+01      1.05717945E+01
    460000      1.26811142E+01     -2.49999464E-01      5.16843021E-01      4.81234550E+01      1.03880749E+01
    470000      1.26811142E+01     -2.49999464E-01      5.17056227E-01      5.10546379E+01      9.62258339E+00
    480000      1.26811142E+01     -2.49999493E-01      5.16552210E-01      5.19886475E+01      1.04143639E+01
    490000      1.27204971E+01     -2.49999449E-01      5.17255545E-01      5.06405449E+01      1.27178917E+01
    500000      1.27204971E+01     -2.49999553E-01      5.17107129E-01      5.20896225E+01      1.16279173E+01
    510000      1.26811142E+01     -2.49999508E-01      5.16798377E-01      4.84208679E+01      1.16503315E+01
    520000      1.26419754E+01     -2.49999523E-01      5.16890883E-01      5.03892593E+01      1.14832001E+01
    530000      1.26419754E+01     -2.49999493E-01      5.16896725E-01      5.39307938E+01      8.53372860E+00
