    # Step        E_Field           E_PP     E_Coupling        E_Total
   2120000  -4.869146E+01   0.000000E+00   1.594583E-01  -4.853200E+01
   2130000  -4.812829E+01   4.446473E-02   3.489507E-01  -4.773488E+01
   2140000  -4.845295E+01   0.000000E+00   2.621944E-01  -4.819075E+01
   2150000  -4.840659E+01   0.000000E+00   1.768679E-01  -4.822972E+01
   2160000  -4.860505E+01   1.707185E-01   2.248937E-01  -4.820943E+01
   2170000  -4.876728E+01   0.000000E+00   3.546509E-01  -4.841262E+01
   2180000  -4.859100E+01   0.000000E+00   2.343100E-01  -4.835669E+01
   2190000  -4.795211E+01   0.000000E+00   3.970203E-01  -4.755509E+01
   2200000  -4.832794E+01   0.000000E+00   2.560245E-01  -4.807191E+01
   2210000  -4.833240E+01   0.000000E+00   2.973317E-01  -4.803506E+01
   2220000  -4.793465E+01   0.000000E+00   3.809442E-01  -4.755371E+01
   2230000  -4.840738E+01   0.000000E+00   2.828819E-01  -4.812449E+01
   2240000  -4.781113E+01   0.000000E+00   3.376804E-01  -4.747345E+01
   2250000  -4.852844E+01   0.000000E+00   1.840911E-01  -4.834435E+01
   2260000  -4.888492E+01   0.000000E+00   1.941681E-01  -4.869075E+01
   2270000  -4.765770E+01   0.000000E+00   4.679247E-01  -4.718977E+01
   2280000  -4.837016E+01   5.170192E-03   2.886457E-01  -4.807634E+01
   2290000  -4.828209E+01   4.292491E-02   2.425714E-01  -4.799659E+01
   2300000  -4.857618E+01   0.000000E+00   3.166403E-01  -4.825954E+01
   2310000  -4.814608E+01   0.000000E+00   3.896925E-01  -4.775638E+01
   2320000  -4.828141E+01   0.000000E+00   3.119140E-01  -4.796950E+01
   2330000  -4.872261E+01   0.000000E+00   2.941419E-01  -4.842847E+01
   2340000  -4.844277E+01   0.000000E+00   2.058530E-01  -4.823692E+01
   2350000  -4.803506E+01   0.000000E+00   4.737191E-01  -4.756134E+01
   2360000  -4.889120E+01   2.455287E-03   1.688966E-01  -4.871985E+01
   2370000  -4.842110E+01   1.308351E-03   2.481564E-01  -4.817164E+01
   2380000  -4.840905E+01   0.000000E+00   2.377892E-01  -4.817126E+01
   2390000  -4.818525E+01   0.000000E+00   3.060132E-01  -4.787923E+01
   2400000  -4.816920E+01   1.727404E-05   2.566955E-01  -4.791249E+01
   2410000  -4.833018E+01   0.000000E+00   2.116596E-01  -4.811852E+01
   2420000  -4.783220E+01   0.000000E+00   3.407852E-01  -4.749141E+01
   2430000  -4.848596E+01   0.000000E+00   1.808869E-01  -4.830507E+01
   2440000  -4.886819E+01   1.542091E-01   1.437980E-01  -4.857018E+01
   2450000  -4.827915E+01   0.000000E+00   2.329936E-01  -4.804616E+01
   2460000  -4.838364E+01   6.360482E-02   3.540584E-01  -4.796598E+01
   2470000  -4.852246E+01   2.861369E-01   1.985265E-01  -4.803780E+01
   2480000  -4.865036E+01   1.882591E-02   1.717960E-01  -4.845974E+01
   2490000  -4.794761E+01   0.000000E+00   5.127124E-01  -4.743489E+01
   2500000  -4.820610E+01   0.000000E+00   3.740263E-01  -4.783207E+01
   2510000  -4.869431E+01   6.112603E-03   1.156048E-01  -4.857260E+01
   2520000  -4.856917E+01   1.199672E-02   2.779942E-01  -4.827917E+01
   2530000  -4.814347E+01   0.000000E+00   2.467218E-01  -4.789675E+01
   2540000  -4.822741E+01   0.000000E+00   2.782905E-01  -4.794912E+01
   2550000  -4.864727E+01   0.000000E+00   2.530843E-01  -4.839418E+01
   2560000  -4.830409E+01   0.000000E+00   2.063632E-01  -4.809773E+01
   2570000  -4.826235E+01   0.000000E+00   2.610137E-01  -4.800134E+01
   2580000  -4.861983E+01   0.000000E+00   3.126985E-01  -4.830713E+01
   2590000  -4.851401E+01   0.000000E+00   1.422170E-01  -4.837180E+01
   2600000  -4.837008E+01   0.000000E+00   2.159866E-01  -4.815409E+01
   2610000  -4.840419E+01   0.000000E+00   2.615029E-01  -4.814269E+01
   2620000  -4.849793E+01   2.469259E-02   2.485214E-01  -4.822472E+01
   2630000  -4.825470E+01   0.000000E+00   2.300912E-01  -4.802460E+01
   2640000  -4.804653E+01   0.000000E+00   3.477379E-01  -4.769880E+01
   2650000  -4.833994E+01   0.000000E+00   2.153868E-01  -4.812455E+01
   2660000  -4.821883E+01   0.000000E+00   3.062453E-01  -4.791259E+01
   2670000  -4.862452E+01   0.000000E+00   2.127451E-01  -4.841178E+01
   2680000  -4.772831E+01   0.000000E+00   3.086736E-01  -4.741964E+01
   2690000  -4.764919E+01   6.301219E-02   3.115029E-01  -4.727467E+01
   2700000  -4.817709E+01   0.000000E+00   3.718659E-01  -4.780522E+01
   2710000  -4.832749E+01   0.000000E+00   2.156534E-01  -4.811184E+01
   2720000  -4.886040E+01   0.000000E+00   2.311286E-01  -4.862927E+01
   2730000  -4.749230E+01   0.000000E+00   3.871238E-01  -4.710518E+01
   2740000  -4.872214E+01   2.499442E-02   3.028269E-01  -4.839432E+01
   2750000  -4.835830E+01   2.787457E-03   1.839700E-01  -4.817154E+01
   2760000  -4.835456E+01   0.000000E+00   2.891534E-01  -4.806540E+01
   2770000  -4.818051E+01   0.000000E+00   1.821761E-01  -4.799834E+01
   2780000  -4.811878E+01   0.000000E+00   3.292402E-01  -4.778954E+01
   2790000  -4.841801E+01   0.000000E+00   2.510689E-01  -4.816694E+01
   2800000  -4.884675E+01   0.000000E+00   1.699370E-01  -4.867682E+01
   2810000  -4.832721E+01   1.336953E-01   2.757520E-01  -4.791777E+01
   2820000  -4.887783E+01   0.000000E+00   2.237941E-01  -4.865404E+01
   2830000  -4.828075E+01   0.000000E+00   3.092557E-01  -4.797150E+01
   2840000  -4.885810E+01   0.000000E+00   2.718656E-01  -4.858623E+01
   2850000  -4.805530E+01   0.000000E+00   3.592802E-01  -4.769602E+01
   2860000  -4.837705E+01   0.000000E+00   2.556995E-01  -4.812135E+01
   2870000  -4.754517E+01   0.000000E+00   3.016692E-01  -4.724350E+01
